SIMULATION_UUID,RESOURCE_PREPARE_TIME_MEAN,RESOURCE_PREPARE_TIME_STD,ARRIVAL_PATTERN,BROKER_TYPE,SET_RASPOREDA,USER_COUNT,MAX_AVAILABLE_RESOURCES,CRITICAL_UTILISATION_PERCENT,READY_COUNT,RESOURCE_ADD_NUMBER,INITIAL_WAVE_KNOWN,AVG_UTILIZATION,AVG_WAIT_TIME,TOTAL_SLA_BROKEN,FINAL_RESOURCE_COUNT
8f6d3678-ee66-4196-8655-04bbdc17b86e,20.0,0.2,3,2,2,120,35,0.3,20,10,True,62.9,12.2,52,35
d643b7f5-e088-4cde-8b7b-cef3eb774600,30.0,0.2,3,3,2,120,35,0.2,10,5,True,91.3,165.5,168,10
ff6607a9-2b68-437e-9f45-f6ebeae30fa7,10.0,0.2,2,1,2,110,25,0.3,15,1,False,85.5,40.7,112,25
5d14bc9b-9eeb-40fe-9961-bd773c20b43e,20.0,0.2,2,2,2,110,35,0.2,5,10,True,93.9,38.0,124,35
5a533b1b-7ba1-4d24-b605-434c6c7df6b0,30.0,0.2,1,3,2,100,40,0.6,20,1,True,79.1,22.7,124,20
fc83230d-ffbd-4625-962a-63493e522211,10.0,0.2,1,1,2,110,40,0.4,20,1,True,71.2,8.8,76,29
d38cf1d5-92c9-47cf-9cb6-1021775f535c,20.0,0.2,3,2,2,90,40,0.5,15,5,True,68.5,3.1,24,32
d86c11dc-9faa-4039-881f-ba8a5df8c084,10.0,0.2,1,1,0,120,30,0.4,10,5,True,58.2,0.0,0,20
ed3d0c8c-7cf1-48e3-a6fb-499ef8c355e0,20.0,0.2,2,2,0,100,30,0.5,20,10,True,78.1,6.6,55,30
ec0b651b-b6b1-40dc-bec7-60593c3b7dd5,30.0,0.2,2,3,0,130,40,0.3,15,10,False,87.3,85.1,192,15
826c8fce-75ad-4979-bf6b-9325394312b6,10.0,0.2,3,1,0,100,20,0.5,15,5,True,74.5,11.9,88,20
a12ba370-46ae-4e79-b684-d5080eff1bd6,20.0,0.2,3,2,0,120,40,0.7,10,5,False,52.0,6.8,60,40
327e3471-cabe-4418-923c-1a3d8c648e4d,30.0,0.2,2,3,0,110,35,0.8,10,5,True,86.4,63.2,84,10
c5d5ed8c-a4f4-4cb8-9839-8344a1e336da,10.0,0.2,1,1,0,110,45,0.3,20,10,True,55.8,0.0,0,21
de3f7dfa-1dfe-4033-8c17-319690e34a5b,20.0,0.2,2,2,0,100,35,0.2,10,5,False,89.6,23.5,104,28
a1892245-55f4-4ffa-aff6-c8842d3d2706,30.0,0.2,1,3,0,90,30,0.4,15,5,False,67.6,3.7,24,15
ddc56fc9-ffc1-4d04-aed3-704ee17c8ac6,10.0,0.2,2,1,0,90,35,0.5,20,5,True,68.2,0.7,14,35
39f68663-a6b6-4e0a-9414-1ebeb212f0e9,20.0,0.2,2,2,0,100,20,0.6,20,15,True,80.2,16.8,96,20
65f9a827-122b-48bc-b40b-6ffb7892614c,30.0,0.2,3,3,0,100,20,0.4,10,15,False,85.4,73.1,156,10
02ab7e5a-f4f2-44ba-9409-e0c15204e3f5,10.0,0.2,3,1,0,110,25,0.4,15,5,False,71.3,4.3,64,22
37af6139-a235-435a-81f8-17dbeeaadd91,20.0,0.2,3,2,0,120,35,0.3,20,10,True,66.8,0.7,12,23
77c46312-edb7-4567-b10b-2e443f29e7b3,30.0,0.2,3,3,0,120,35,0.2,10,5,True,93.4,78.6,252,10
4c05e246-de75-4214-9c38-56211b436464,10.0,0.2,2,1,0,110,25,0.3,15,1,False,89.8,29.1,196,25
67614099-b6cc-4f33-baf4-e45104c4f1f4,20.0,0.2,2,2,0,110,35,0.2,5,10,True,94.5,37.9,216,35
4cb878b3-ecc5-4d7f-8ed6-8dd48b7e2056,30.0,0.2,1,3,0,100,40,0.6,20,1,True,55.0,0.3,4,20
cf338800-5f3e-4c2b-8ebd-c74fb1d5268a,10.0,0.2,1,1,0,110,40,0.4,20,1,True,55.8,0.0,0,21
f6da8820-4976-4412-8312-045b9470557b,20.0,0.2,3,2,0,90,40,0.5,15,5,True,60.1,0.4,8,22
